iter,emax,log_compression,n_live
115,-0.0275567471491671,-0.008333333333333333,120
116,-0.029092129194165952,-0.008333333333333333,120
117,-0.03043729810335918,-0.008333333333333333,120
118,-0.03092761257815324,-0.008333333333333333,120
119,-0.031161952266271744,-0.008333333333333333,120
120,-0.031282738408026395,-0.008333333333333333,120
121,-0.03206137633571855,-0.008333333333333333,120
122,-0.033132522580880855,-0.008333333333333333,120
123,-0.03415516001973131,-0.008333333333333333,120
124,-0.03427720574980517,-0.008333333333333333,120
125,-0.03460735527918424,-0.008333333333333333,120
126,-0.03485674885687205,-0.008333333333333333,120
127,-0.03595775609434345,-0.008333333333333333,120
128,-0.036131646739820306,-0.008333333333333333,120
129,-0.036619510798140464,-0.008333333333333333,120
130,-0.03712401220439974,-0.008333333333333333,120
131,-0.03747367626977081,-0.008333333333333333,120
132,-0.03778664424042574,-0.008333333333333333,120
133,-0.03808670343965774,-0.008333333333333333,120
134,-0.03850153054889496,-0.008333333333333333,120
135,-0.038769847356586104,-0.008333333333333333,120
136,-0.03887873250757845,-0.008333333333333333,120
137,-0.03896107407935321,-0.008333333333333333,120
138,-0.03958568400496632,-0.008333333333333333,120
139,-0.03998668047351597,-0.008333333333333333,120
140,-0.04016248115857236,-0.008333333333333333,120
141,-0.04063932773900991,-0.008333333333333333,120
142,-0.04139744722849565,-0.008333333333333333,120
143,-0.04196318812164474,-0.008333333333333333,120
144,-0.04268883359937589,-0.008333333333333333,120
145,-0.0427858518690538,-0.008333333333333333,120
146,-0.04367677310903076,-0.008333333333333333,120
147,-0.04415585264080835,-0.008333333333333333,120
148,-0.04554924055131452,-0.008333333333333333,120
149,-0.046563476441664337,-0.008333333333333333,120
150,-0.04660501407194186,-0.008333333333333333,120
151,-0.04677773794711636,-0.008333333333333333,120
152,-0.046991919998415815,-0.008333333333333333,120
153,-0.0471495080952153,-0.008333333333333333,120
154,-0.048222470209493995,-0.008333333333333333,120
155,-0.04882261400388887,-0.008333333333333333,120
156,-0.04906541282582273,-0.008333333333333333,120
157,-0.049337943532342755,-0.008333333333333333,120
